voidID radius(Mpc/h) ellip
2490 89.9 0.097431
2654 70.33 0.099728
1811 58.68 0.068364
3358 73.6 0.121098
509 62.76 0.059182
1054 54.03 0.132918
3304 68.15 0.059666
725 42.86 0.087607
2874 45.52 0.194493
3106 67.22 0.090806
1344 76.35 0.132212
2017 69.21 0.144662
1283 84.28 0.080061
3324 70.63 0.112106
1108 56.68 0.115231
1518 68.27 0.130572
238 63.81 0.085339
3398 48.43 0.088527
1288 50.47 0.153364
1780 54.31 0.121605
2385 45.34 0.118587
1963 67.06 0.108806
1414 59.1 0.128007
3178 46.91 0.067089
2814 48.1 0.126109
1932 75.94 0.120359
1654 57.17 0.134094
2964 58.71 0.106758
1585 76.11 0.152936
1992 53.13 0.109389
1660 59.0 0.154602
194 56.34 0.052507
1643 65.43 0.168932
1841 46.36 0.077471
206 77.69 0.080578
435 71.65 0.129084
2981 69.08 0.15416
2045 47.42 0.140305
2658 71.25 0.087459
3271 71.16 0.161629
3018 78.38 0.218778
1558 42.85 0.057605
415 54.17 0.097974
3191 74.09 0.053973
1690 56.64 0.088734
2710 56.45 0.098368
3247 59.1 0.074337
3364 74.95 0.104909
231 53.08 0.120893
2515 69.79 0.109575
813 54.19 0.084796
1515 47.38 0.107013
2468 64.25 0.144042
1707 65.21 0.173713
2265 67.85 0.12222
3377 63.84 0.143985
1287 59.92 0.080118
2975 67.56 0.052363
1055 40.48 0.081766
1256 82.4 0.133725
1432 53.05 0.137231
810 40.36 0.121723
2677 62.7 0.100578
2371 50.88 0.079193
2426 56.77 0.119313
1613 50.41 0.122897
2788 47.21 0.206907
1235 60.34 0.110302
1647 54.92 0.138824
3063 48.34 0.134284
931 63.89 0.113371
2512 49.27 0.095857
1655 94.99 0.225958
1673 62.06 0.140749
2558 73.02 0.122598
1261 56.43 0.130325
1847 43.49 0.127082
2767 62.43 0.151409
3379 79.01 0.104767
3261 44.55 0.109426
1113 56.38 0.039906
805 51.18 0.104671
1131 57.95 0.129225
2837 49.38 0.11602
233 46.89 0.140754
2050 55.65 0.112206
1543 68.88 0.127296
375 54.44 0.097871
2916 62.66 0.125242
