bin radius(Mpc/h) ellip
"(10.5, 13.5]" 12.0 0.16402513999205576
"(13.5, 16.5]" 15.0 0.1496871984733437
"(16.5, 19.5]" 18.0 0.14044722905846432
"(19.5, 22.5]" 21.0 0.1335682566817738
"(22.5, 25.5]" 24.0 0.12849411216578302
"(25.5, 28.5]" 27.0 0.1247156466260725
"(28.5, 31.5]" 30.0 0.1228692715479893
"(31.5, 34.5]" 33.0 0.12244442285780519
"(34.5, 37.5]" 36.0 0.12342351445689462
"(37.5, 40.5]" 39.0 0.12490541171124307
"(40.5, 43.5]" 42.0 0.1278370357484457
"(43.5, 46.5]" 45.0 0.1308289236278425
"(46.5, 49.5]" 48.0 0.13365795838516034
"(49.5, 52.5]" 51.0 0.13675523638899786
"(52.5, 55.5]" 54.0 0.1389988518150174
"(55.5, 58.5]" 57.0 0.1421656472200023
"(58.5, 61.5]" 60.0 0.14477006937363437
