415495 particles, 3454 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
0 2490 337741 0.071089 907.765320 789 2 1264.730957 1105 3.401105 0.000000
1 2654 350629 0.085786 605.522217 502 1 605.522217 502 3.077664 0.000000
2 1832 277637 0.089297 601.257690 454 4 1326.467041 1106 2.892240 0.000001
3 1811 275541 0.132961 351.591492 392 1 351.591492 392 2.852965 0.000001
4 3358 408025 0.107909 693.803772 631 1 693.803772 631 2.844643 0.000001
5 509 136368 0.104216 430.330505 405 1 430.330505 405 2.776780 0.000002
6 1054 200721 0.109711 274.448395 278 1 274.448395 278 2.708761 0.000004
7 338 110913 0.101144 400.796204 347 2 641.743408 541 2.622141 0.000011
8 2082 302757 0.088694 622.005371 613 4 1292.824951 1299 2.614469 0.000012
9 3304 403105 0.116840 550.782593 531 1 550.782593 531 2.587143 0.000016
10 725 163858 0.117031 136.987305 98 1 136.987305 98 2.580135 0.000017
11 2874 370512 0.139690 164.125504 165 1 164.125504 165 2.556295 0.000022
12 3106 388053 0.080122 528.578308 433 1 528.578308 433 2.549180 0.000024
13 2115 304824 0.106343 271.382599 269 1 271.382599 269 2.549001 0.000024
14 1344 231220 0.088310 774.723328 628 1 774.723328 628 2.537290 0.000026
15 2211 314106 0.097224 536.281921 482 4 1058.177002 899 2.521306 0.000031
16 2017 296184 0.098095 576.980530 479 1 576.980530 479 2.485698 0.000044
17 1283 224203 0.097669 1041.901978 924 1 1041.901978 924 2.478531 0.000047
18 2298 321698 0.116478 390.575409 359 2 548.878601 496 2.457278 0.000058
19 3421 412686 0.098396 656.688721 626 3 1154.246948 1124 2.453087 0.000060
20 3324 404279 0.111977 613.163696 596 1 613.163696 596 2.445634 0.000065
21 1108 206460 0.115389 316.884186 293 1 316.884186 293 2.420459 0.000082
22 3121 389267 0.096310 480.782898 463 3 1051.577026 1016 2.401167 0.000098
23 1518 248192 0.090215 553.802124 508 1 553.802124 508 2.380054 0.000119
24 238 91749 0.103118 452.231995 383 1 452.231995 383 2.378298 0.000121
25 3242 399068 0.092495 451.019714 414 1 451.019714 414 2.378239 0.000121
