415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
1 2490 337741 7.108900e-02 9.077653e+02 789 2 1.264731e+03 1105 3.401105 4.21e-10
2 2654 350629 8.578588e-02 6.055222e+02 502 1 6.055222e+02 502 3.077664 4.88e-08
3 1832 277637 8.929656e-02 6.012577e+02 454 4 1.326467e+03 1106 2.892240 5.25e-07
4 1811 275541 1.329608e-01 3.515915e+02 392 1 3.515915e+02 392 2.852965 8.43e-07
5 3358 408025 1.079092e-01 6.938038e+02 631 1 6.938038e+02 631 2.844643 9.31e-07
6 509 136368 1.042155e-01 4.303305e+02 405 1 4.303305e+02 405 2.776780 2.05e-06
7 1054 200721 1.097109e-01 2.744484e+02 278 1 2.744484e+02 278 2.708761 4.40e-06
8 338 110913 1.011444e-01 4.007962e+02 347 2 6.417434e+02 541 2.622141 1.11e-05
9 2082 302757 8.869363e-02 6.220054e+02 613 4 1.292825e+03 1299 2.614469 1.21e-05
10 3304 403105 1.168405e-01 5.507826e+02 531 1 5.507826e+02 531 2.587143 1.60e-05
11 725 163858 1.170309e-01 1.369873e+02 98 1 1.369873e+02 98 2.580135 1.72e-05
12 2874 370512 1.396900e-01 1.641255e+02 165 1 1.641255e+02 165 2.556295 2.19e-05
13 3106 388053 8.012209e-02 5.285783e+02 433 1 5.285783e+02 433 2.549180 2.35e-05
14 2115 304824 1.063430e-01 2.713826e+02 269 1 2.713826e+02 269 2.549001 2.36e-05
15 1344 231220 8.831029e-02 7.747233e+02 628 1 7.747233e+02 628 2.537290 2.65e-05
16 2211 314106 9.722446e-02 5.362819e+02 482 4 1.058177e+03 899 2.521306 3.11e-05
17 2017 296184 9.809488e-02 5.769805e+02 479 1 5.769805e+02 479 2.485698 4.40e-05
18 1283 224203 9.766886e-02 1.041902e+03 924 1 1.041902e+03 924 2.478531 4.72e-05
19 2298 321698 1.164778e-01 3.905754e+02 359 2 5.488786e+02 496 2.457278 5.79e-05
20 3421 412686 9.839648e-02 6.566887e+02 626 3 1.154247e+03 1124 2.453087 6.02e-05
21 3324 404279 1.119774e-01 6.131637e+02 596 1 6.131637e+02 596 2.445634 6.46e-05
22 1108 206460 1.153890e-01 3.168842e+02 293 1 3.168842e+02 293 2.420459 8.19e-05
23 3121 389267 9.631050e-02 4.807829e+02 463 3 1.051577e+03 1016 2.401167 9.79e-05
24 1518 248192 9.021454e-02 5.538021e+02 508 1 5.538021e+02 508 2.380054 1.19e-04
25 238 91749 1.031175e-01 4.522320e+02 383 1 4.522320e+02 383 2.378298 1.21e-04
26 3242 399068 9.249549e-02 4.510197e+02 414 1 4.510197e+02 414 2.378239 1.21e-04
27 3398 410894 1.421381e-01 1.976733e+02 187 1 1.976733e+02 187 2.357768 1.45e-04
28 1288 225047 1.028052e-01 2.237509e+02 206 1 2.237509e+02 206 2.354699 1.50e-04
29 1780 272438 1.207920e-01 2.787702e+02 262 1 2.787702e+02 262 2.354481 1.50e-04
30 2385 328935 1.306975e-01 1.621857e+02 183 1 1.621857e+02 183 2.353456 1.51e-04
31 1963 291183 1.076185e-01 5.247709e+02 466 1 5.247709e+02 466 2.350581 1.55e-04
32 1414 236173 1.258141e-01 3.592909e+02 375 1 3.592909e+02 375 2.349961 1.56e-04
33 3178 393824 1.459774e-01 1.796254e+02 198 1 1.796254e+02 198 2.339843 1.71e-04
34 2814 364993 1.554919e-01 1.937398e+02 216 1 1.937398e+02 216 2.333513 1.81e-04
35 1932 287667 9.396160e-02 5.299875e+02 500 2 7.620897e+02 732 2.331230 1.84e-04
36 1654 261442 1.126142e-01 3.251913e+02 341 1 3.251913e+02 341 2.303443 2.36e-04
37 2964 378093 1.061554e-01 3.522373e+02 347 1 3.522373e+02 347 2.302084 2.38e-04
38 1585 254763 1.088148e-01 3.142948e+02 257 3 7.673963e+02 649 2.295580 2.52e-04
